1,85,13
1,41,6
1,42,13
1,67,44
2,48,26
2,46,40
3,6,23
3,1,21
3,74,21
3,98,19
4,22,37
4,94,50
5,98,8
5,90,10
5,6,32
5,16,26
6,86,33
6,21,2
7,98,41
7,5,12
7,19,2
7,26,27
8,9,38
8,82,2
8,20,10
9,33,39
9,22,24
9,41,14
9,68,42
10,21,21
10,52,21
10,50,20
11,12,16
11,20,34
11,35,45
12,56,15
12,46,47
12,73,19
13,48,21
13,51,4
13,45,38
13,49,39
14,25,11
14,33,5
14,45,43
15,42,27
15,101,17
16,5,47
16,20,7
16,96,13
16,51,50
17,7,40
17,65,2
17,6,45
18,86,5
18,90,16
19,91,34
19,88,15
19,73,1
19,11,15
20,53,6
20,51,39
20,4,13
20,32,49
21,22,15
21,97,11
22,24,7
22,21,30
22,67,47
23,60,37
23,51,3
24,44,6
24,66,31
25,45,47
25,21,13
26,44,2
26,15,49
27,85,24
27,37,16
27,73,3
28,74,40
28,71,25
28,15,10
29,36,5
29,98,19
29,46,34
29,41,36
30,58,15
30,36,8
30,65,31
31,37,46
31,16,19
31,67,30
32,68,34
32,84,8
32,18,8
33,85,1
33,66,2
34,49,21
34,97,21
34,2,32
35,56,23
35,28,22
35,46,39
35,63,32
36,69,1
36,29,27
37,66,2
37,21,9
37,5,26
37,14,8
38,51,10
38,35,26
38,7,40
38,28,22
39,26,27
39,76,13
39,74,30
40,81,22
40,28,47
40,66,27
40,67,19
41,91,12
41,101,39
41,3,27
42,67,44
42,61,1
43,28,36
43,91,27
43,61,50
43,53,35
44,43,3
44,100,33
45,58,30
45,4,27
45,1,36
45,94,33
46,59,16
46,93,10
47,29,16
47,5,27
47,100,50
48,44,6
48,93,26
48,6,42
49,24,44
49,22,29
49,11,22
50,22,12
50,80,41
51,49,26
51,81,30
51,48,17
51,31,5
52,56,3
52,7,11
52,34,22
53,56,17
53,37,6
53,97,44
53,7,34
54,70,33
54,43,30
55,64,24
55,42,8
56,85,35
56,55,44
57,19,47
57,2,38
57,66,27
57,40,39
58,6,7
58,68,24
58,8,32
59,92,48
59,77,27
60,96,50
60,47,14
60,1,42
61,29,23
61,28,25
61,94,12
62,3,28
62,95,21
62,84,44
63,75,26
63,81,50
63,90,2
64,32,44
64,64,34
65,2,31
65,43,45
66,89,32
66,1,30
67,80,6
67,66,46
67,40,15
67,20,10
68,76,7
68,60,25
68,94,10
69,92,26
69,10,18
69,21,21
69,2,42
70,4,33
70,7,29
70,24,17
70,60,14
71,83,30
71,19,11
71,38,7
71,78,8
72,34,13
72,43,36
72,47,6
72,75,40
73,96,19
73,77,7
73,13,48
74,80,24
74,47,33
74,18,47
75,64,20
75,51,42
76,92,14
76,83,10
76,93,12
76,38,28
77,34,21
77,68,48
77,15,8
78,67,47
78,83,45
78,39,37
79,17,47
79,101,29
79,86,38
80,57,2
80,16,43
81,87,25
81,55,10
81,100,46
81,32,22
82,60,24
82,18,3
82,34,5
83,97,22
83,37,40
83,47,2
84,88,11
84,79,38
84,35,31
85,61,9
85,82,5
86,68,49
86,23,8
86,65,38
86,33,34
87,49,15
87,18,13
88,6,36
88,43,33
88,51,36
88,63,25
89,58,50
89,48,5
89,7,9
89,84,41
90,23,39
90,59,34
90,7,33
91,10,46
91,84,1
91,78,23
91,12,19
92,41,19
92,36,2
92,51,29
93,84,12
93,88,31
93,55,28
94,71,38
94,37,38
95,48,33
95,86,49
95,33,50
95,54,19
96,83,45
96,41,32
97,75,4
97,60,1
97,27,9
97,79,10
98,101,48
98,47,10
98,96,38
99,32,37
99,79,27
99,93,31
99,76,17
100,77,46
100,36,30
100,5,28
100,17,19
